"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-05",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-06",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-07",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-08",,"86",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-09",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-10",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-11",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-12",,"86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-13",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-14",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-15",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-16",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-17",,"87",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-18",,"87",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-19",,"88",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-20",,"88",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-21",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-22",,"87",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-23",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-24",,"88",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-25",,"87",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-26",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-27",,"88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-28",,"88",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-29",,"88",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-30",,"88",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-05-31",,"88",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-01",,"88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-02",,"88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-03",,"88",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-04",,"88",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-05",,"88",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-06",,"88",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-07",,"89",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-08",,"90",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-09",,"89",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-10","0.12","86",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-11","1.57","87",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-12","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-13","0.59","85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-14","0.67","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-15","1.77","85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-16","0.51","86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-17","0.24","87",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-18","0.28","84",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-19","0.75","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-20","0.02","87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-21","0.00","87",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-22",,"87",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-23",,"87",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-24",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-25","0.02","85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-26","0.55","85",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-27","0.16","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-28","0.16","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-29","9.25","80",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-06-30","3.66","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-01","3.62","79",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-02","14.76","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-03","1.34","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-04","0.16","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-05","0.91","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-06","3.07","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-07","1.61","85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-08","1.22","83",,"77"
